No.,Year,Date,Type,Title,Location,Details,date_start,date_end,date_likely,date_precision,date_certain,date_note,categories,type_inferred,cancelled,subject_groups,subjects,lat,lon,geo_precision
437,1881,March 21,Performance,Pilgrim’s Progress 2,"Mentone, ITL",(PP f.2; RJ).,1881-03-21,1881-03-21,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 2",43.7753495,7.5029213,town
438,1881,March 24,Performance,Pilgrim’s Progress 1,"San Remo, ITL",(PP f.2; RJ).,1881-03-24,1881-03-24,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 1",43.8362985,7.7772658,town
439,1881,July 23,Performance,Pilgrim’s Progress 1,London,"Steinway Hall; described as “dramatic scenes”; RJ refers to “a number of performances” (London Evening Standard, July 19, 1881, 1: BNA; RJ).",1881-07-23,1881-07-23,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 1",51.5074456,-0.1277653,town
440,1881,July 25,Performance,Pilgrim’s Progress 1,London,"Steinway Hall; described as “dramatic scenes” (London Evening Standard, July 19, 1881, 1: BNA; PP f.2; RJ).",1881-07-25,1881-07-25,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 1",51.5074456,-0.1277653,town
441,1881,July 27,Performance,Pilgrim’s Progress 1,London,Steinway Hall (PP f.2; RJ).,1881-07-27,1881-07-27,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 1",51.5074456,-0.1277653,town
442,1881,August 18,Performance,Pilgrim’s Progress 1,Scarborough,(PP f.2; RJ).,1881-08-18,1881-08-18,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 1",54.2820009,-0.4011868,town
443,1881,August 19,Performance,Pilgrim’s Progress 2,Scarborough,(PP f.2; RJ).,1881-08-19,1881-08-19,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 2",54.2820009,-0.4011868,town
444,1881,August 22,Performance,Pilgrim’s Progress 1,Filey,RJ does not mention two performances in Filey (PP f.2; RJ).,1881-08-22,1881-08-22,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 1",54.2096884,-0.2888382,town
445,1881,August 23,Performance,Pilgrim’s Progress 2,Filey,(PP f.2; RJ).,1881-08-23,1881-08-23,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 2",54.2096884,-0.2888382,town
446,1881,August 24,Performance,Pilgrim’s Progress 2,Scarborough,"Mechanics’ Hall; “this afternoon . . . close to Crist’s [sic] Church” (York Herald, August 24, 1881, 2: BNA; PP f.2; RJ).",1881-08-24,1881-08-24,,day,TRUE,,performance,FALSE,FALSE,Bunyan,"Pilgrim’s Progress, Part 2",54.2820009,-0.4011868,town
